clientID,businessName,contactName,phoneNumber,email,address,state,zipcode,notes,industry,createdDate
268116617,"Perez, Decker and Goodwin",Lori Ortiz,1+872-677-7062,"info@perez,deckerandgoodwin.com",3063 Gregory Isle Suite 721,PA,56944,VIP client with frequent orders.,transition best-of-breed info-mediaries,2025-01-26
285694721,Medina-Martinez,Maria Rodriguez,1+889-319-9145,info@medina-martinez.com,58987 Nicholas Estates Suite 932,MI,76909,Client contacted us for an estimate.,re-contextualize virtual applications,2025-01-26
378002160,Acosta LLC,Shannon Robinson,1+403-223-1483,info@acostallc.com,40781 Patricia Cliff Apt. 053,OR,29638,VIP client with frequent orders.,iterate wireless platforms,2025-01-26
616902711,"Blanchard, Stewart and Torres",Juan Mata,1+858-155-8224,"info@blanchard,stewartandtorres.com",463 Harper Mews,SD,10913,VIP client with frequent orders.,implement virtual applications,2025-01-26
408789201,"Lewis, Miller and Merritt",Joshua Montes,1+628-945-1945,"info@lewis,millerandmerritt.com",449 David Flats Suite 617,AZ,79715,VIP client with frequent orders.,transform virtual vortals,2025-01-26
595182783,Wagner-Fleming,Tim Townsend,1+711-291-1124,info@wagner-fleming.com,340 Angelica Cliffs Apt. 973,AZ,18887,Long-term client with consistent payments.,incentivize turn-key technologies,2025-01-26
143102132,"Pruitt, Davis and Ball",Mary Moore,1+148-899-3566,"info@pruitt,davisandball.com",0898 Joel Union,NH,50254,Client requested more time to pay.,aggregate cross-platform applications,2025-01-26
859279698,Parks Inc,Amanda Irwin,1+225-604-3174,info@parksinc.com,567 Molly Motorway,MS,38564,"Recently onboarded client, requires follow-up.",enhance customized users,2025-01-26
598169865,Fowler-Duffy,Jennifer Wang,1+257-273-1315,info@fowler-duffy.com,0324 Joseph Motorway,OK,46802,"Recently onboarded client, requires follow-up.",disintermediate granular vortals,2025-01-26
403090972,Acevedo-Henderson,Scott Nelson,1+150-708-7170,info@acevedo-henderson.com,1483 William Radial,AS,73108,Client contacted us for an estimate.,exploit enterprise systems,2025-01-26
793843881,"Robertson, Vasquez and Hall",Justin Barber,1+928-775-6699,"info@robertson,vasquezandhall.com",3675 Thomas Turnpike Apt. 954,AS,35329,Client requested more time to pay.,transition B2B convergence,2025-01-26
274765044,Conner-Oliver,Vicki Molina,1+597-819-8588,info@conner-oliver.com,72245 Dylan Shoal,PW,19944,Client contacted us for an estimate.,transform clicks-and-mortar e-markets,2025-01-26
871345367,Boyd-Tapia,Teresa White,1+244-760-9530,info@boyd-tapia.com,407 Graves Route,WY,64923,VIP client with frequent orders.,harness strategic metrics,2025-01-26
174195804,"Hall, Velazquez and Cooper",Megan Church,1+859-627-6424,"info@hall,velazquezandcooper.com",930 Jerry Radial Apt. 795,OH,87393,VIP client with frequent orders.,enhance robust eyeballs,2025-01-26
